Window,Midpoint,Pi,Theta,S
      1-816,416,0.01113,0.0126,21
     53-866,466,0.01013,0.0114,19
    103-916,516,0.00962,0.0108,18
    161-966,566,0.00763,0.0084,14
   211-1016,616,0.00525,0.006,10
   267-1066,666,0.0035,0.0042,7
   317-1116,716,0.003,0.0036,6
   367-1166,766,0.0025,0.003,5
   417-1216,816,0.0025,0.003,5
   467-1266,866,0.0025,0.003,5
   517-1316,916,0.003,0.0036,6
   567-1366,966,0.0025,0.003,5
   617-1416,1016,0.0025,0.003,5
   667-1466,1066,0.002,0.0024,4
   717-1523,1116,0.002,0.0024,4
   767-1573,1166,0.0025,0.003,5
   817-1627,1216,0.003,0.0036,6
   867-1677,1266,0.004,0.0048,8
   917-1730,1316,0.004,0.0048,8
   967-1780,1366,0.004,0.0048,8
  1017-1830,1416,0.004,0.0048,8
  1067-1880,1466,0.0035,0.0042,7
  1117-1930,1523,0.0035,0.0042,7
  1167-1981,1573,0.0045,0.0054,9
  1217-2031,1627,0.00675,0.0078,13
  1267-2081,1677,0.0075,0.0084,14
  1317-2131,1730,0.009,0.0102,17
  1367-2181,1780,0.0095,0.0108,18
  1417-2231,1830,0.0095,0.0108,18
  1467-2281,1880,0.01,0.0114,19
  1524-2331,1930,0.011,0.0126,21
  1574-2381,1981,0.0105,0.012,20
  1628-2431,2031,0.01,0.0114,19
  1678-2481,2081,0.0095,0.0108,18
  1731-2531,2131,0.0095,0.0108,18
  1781-2581,2181,0.01,0.0114,19
  1831-2631,2231,0.0105,0.012,20
  1881-2681,2281,0.01,0.0114,19
  1931-2731,2331,0.01175,0.0132,22
  1982-2781,2381,0.01075,0.012,20
  2032-2831,2431,0.0115,0.0132,22
  2082-2881,2481,0.01125,0.0132,22
  2132-2931,2531,0.0105,0.012,20
  2182-2981,2581,0.0105,0.012,20
  2232-3031,2631,0.011,0.0126,21
  2282-3081,2681,0.013,0.015,25
  2332-3131,2731,0.0125,0.0144,24
  2382-3181,2781,0.013,0.015,25
  2432-3231,2831,0.0145,0.0168,28
  2482-3281,2881,0.015,0.0174,29
  2532-3331,2931,0.016,0.0186,31
  2582-3381,2981,0.0165,0.0192,32
  2632-3431,3031,0.018,0.021,35
  2682-3481,3081,0.018,0.021,35
  2732-3531,3131,0.01675,0.0198,33
  2782-3581,3181,0.01825,0.0216,36
  2832-3631,3231,0.01525,0.018,30
  2882-3684,3281,0.01525,0.018,30
  2932-3734,3331,0.0145,0.0174,29
  2982-3784,3381,0.0145,0.0174,29
  3032-3834,3431,0.0145,0.0174,29
  3082-3885,3481,0.012,0.0144,24
  3132-3935,3531,0.012,0.0144,24
  3182-3985,3581,0.0125,0.015,25
  3232-4035,3631,0.0115,0.0138,23
  3282-4085,3684,0.012,0.0144,24
  3332-4135,3734,0.011,0.0132,22
  3382-4185,3784,0.011,0.0132,22
  3432-4235,3834,0.01,0.012,20
  3482-4285,3885,0.01,0.012,20
  3532-4335,3935,0.01,0.012,20
  3582-4385,3985,0.008,0.0096,16
  3632-4436,4035,0.0085,0.0102,17
  3685-4486,4085,0.0085,0.0102,17
  3735-4537,4135,0.008,0.0096,16
  3785-4587,4185,0.0075,0.009,15
  3835-4638,4235,0.0085,0.0102,17
  3886-4688,4285,0.009,0.0108,18
  3936-4739,4335,0.011,0.0132,22
  3986-4812,4385,0.011,0.0132,22
  4036-4862,4436,0.0135,0.0162,27
  4086-4913,4486,0.015,0.018,30
  4136-4963,4537,0.016,0.0192,32
  4186-5013,4587,0.016,0.0192,32
  4236-5063,4638,0.0165,0.0198,33
  4286-5122,4688,0.017,0.0204,34
  4336-5172,4739,0.0175,0.021,35
  4386-5222,4812,0.018,0.0216,36
  4437-5272,4862,0.0175,0.021,35
  4487-5322,4913,0.017,0.0204,34
  4538-5372,4963,0.0175,0.021,35
  4588-5422,5013,0.018,0.0216,36
  4639-5472,5063,0.0165,0.0198,33
  4689-5522,5122,0.0165,0.0198,33
  4740-5573,5172,0.014,0.0168,28
  4813-5623,5222,0.014,0.0168,28
  4863-5673,5272,0.012,0.0144,24
  4914-5723,5322,0.01,0.012,20
  4964-5773,5372,0.01,0.012,20
  5014-5823,5422,0.0095,0.0114,19
  5064-5874,5472,0.0085,0.0102,17
  5123-5924,5522,0.0085,0.0102,17
  5173-5974,5573,0.008,0.0096,16
  5223-6024,5623,0.009,0.0108,18
  5273-6074,5673,0.01,0.012,20
  5323-6124,5723,0.0105,0.0126,21
  5373-6174,5773,0.0115,0.0138,23
  5423-6224,5823,0.0115,0.0138,23
  5473-6274,5874,0.0115,0.0138,23
  5523-6324,5924,0.0115,0.0138,23
  5574-6374,5974,0.012,0.0144,24
  5624-6431,6024,0.0125,0.015,25
  5674-6481,6074,0.012,0.0144,24
  5724-6542,6124,0.0115,0.0138,23
  5774-6592,6174,0.011,0.0132,22
  5824-6648,6224,0.01388,0.0162,27
  5875-6698,6274,0.01488,0.0174,29
  5925-6748,6324,0.01488,0.0174,29
  5975-6827,6374,0.01438,0.0168,28
  6025-6885,6431,0.01338,0.0156,26
  6075-6937,6481,0.01413,0.0162,27
  6125-6987,6542,0.01463,0.0168,28
  6175-7037,6592,0.01513,0.0174,29
  6225-7087,6648,0.01613,0.0186,31
  6275-7137,6698,0.01613,0.0186,31
  6325-7191,6748,0.01663,0.0192,32
  6375-7241,6827,0.01663,0.0192,32
  6432-7291,6885,0.01563,0.018,30
  6482-7341,6937,0.01563,0.018,30
  6543-7391,6987,0.01513,0.0174,29
  6593-7443,7037,0.01563,0.018,30
  6649-7493,7087,0.01275,0.015,25
  6699-7543,7137,0.01125,0.0132,22
  6749-7593,7191,0.01175,0.0138,23
  6828-7643,7241,0.01175,0.0138,23
  6886-7693,7291,0.01125,0.0132,22
  6938-7743,7341,0.0095,0.0114,19
  6988-7793,7391,0.0085,0.0102,17
  7038-7843,7443,0.0075,0.009,15
  7088-7893,7493,0.006,0.0072,12
  7138-7943,7543,0.00775,0.009,15
  7192-7993,7593,0.00675,0.0078,13
  7242-8043,7643,0.00625,0.0072,12
  7292-8093,7693,0.00575,0.0066,11
  7342-8143,7743,0.00625,0.0072,12
  7392-8193,7793,0.00625,0.0072,12
  7444-8247,7843,0.00525,0.006,10
  7494-8297,7893,0.00575,0.0066,11
  7544-8348,7943,0.00775,0.0084,14
  7594-8398,7993,0.00675,0.0072,12
  7644-8450,8043,0.00725,0.0078,13
  7694-8500,8093,0.00725,0.0078,13
  7744-8550,8143,0.00775,0.0084,14
  7794-8603,8193,0.00825,0.009,15
  7844-8656,8247,0.00725,0.0078,13
  7894-8706,8297,0.00775,0.0084,14
  7944-8756,8348,0.006,0.0066,11
  7994-8806,8398,0.006,0.0066,11
  8044-8878,8450,0.0065,0.0072,12
  8094-8928,8500,0.0065,0.0072,12
  8144-8978,8550,0.006,0.0066,11
  8194-9028,8603,0.006,0.0066,11
  8248-9078,8656,0.0065,0.0072,12
  8298-9149,8706,0.006,0.0066,11
  8349-9199,8756,0.01275,0.012,20
  8399-9249,8806,0.015,0.0144,24
  8451-9299,8878,0.015,0.0144,24
  8501-9349,8928,0.0165,0.0162,27
  8551-9399,8978,0.0165,0.0162,27
  8604-9449,9028,0.0165,0.0162,27
  8657-9499,9078,0.0165,0.0162,27
  8707-9549,9149,0.0165,0.0162,27
  8757-9599,9199,0.0165,0.0162,27
  8807-9649,9249,0.0175,0.0174,29
  8879-9699,9299,0.017,0.0168,28
  8929-9749,9349,0.017,0.0168,28
  8979-9799,9399,0.017,0.0168,28
  9029-9849,9449,0.01775,0.0174,29
  9079-9899,9499,0.01825,0.018,30
  9150-9949,9549,0.01825,0.018,30
  9200-9999,9599,0.0095,0.0108,18
 9250-10050,9649,0.00775,0.009,15
 9300-10100,9699,0.00775,0.009,15
 9350-10150,9749,0.00625,0.0072,12
 9400-10200,9799,0.00675,0.0078,13
 9450-10250,9849,0.00625,0.0072,12
 9500-10300,9899,0.00675,0.0078,13
 9550-10350,9949,0.00625,0.0072,12
 9600-10401,9999,0.00775,0.009,15
 9650-10452,10050,0.00675,0.0078,13
 9700-10502,10100,0.00675,0.0078,13
 9750-10552,10150,0.00725,0.0084,14
 9800-10602,10200,0.00675,0.0078,13
 9850-10652,10250,0.006,0.0072,12
 9900-10702,10300,0.005,0.006,10
 9950-10752,10350,0.0045,0.0054,9
10000-10802,10401,0.005,0.006,10
10051-10852,10452,0.0045,0.0054,9
10101-10902,10502,0.0055,0.0066,11
10151-10952,10552,0.006,0.0072,12
10201-11002,10602,0.005,0.006,10
10251-11052,10652,0.005,0.006,10
10301-11102,10702,0.0045,0.0054,9
10351-11152,10752,0.0055,0.0066,11
10402-11202,10802,0.004,0.0048,8
10453-11252,10852,0.004,0.0048,8
10503-11302,10902,0.004,0.0048,8
10553-11352,10952,0.0035,0.0042,7
10603-11402,11002,0.0035,0.0042,7
10653-11452,11052,0.0045,0.0054,9
10703-11502,11102,0.005,0.006,10
10753-11552,11152,0.0055,0.0066,11
10803-11602,11202,0.005,0.006,10
10853-11652,11252,0.005,0.006,10
10903-11702,11302,0.0035,0.0042,7
10953-11752,11352,0.003,0.0036,6
11003-11802,11402,0.0035,0.0042,7
11053-11852,11452,0.004,0.0048,8
11103-11902,11502,0.004,0.0048,8
11153-11952,11552,0.003,0.0036,6
11203-12002,11602,0.003,0.0036,6
11253-12052,11652,0.0035,0.0042,7
11303-12102,11702,0.0035,0.0042,7
11353-12152,11752,0.0035,0.0042,7
11403-12202,11802,0.0035,0.0042,7
11453-12252,11852,0.00375,0.0042,7
11503-12302,11902,0.00375,0.0042,7
11553-12352,11952,0.00325,0.0036,6
11603-12402,12002,0.00325,0.0036,6
11653-12452,12052,0.00325,0.0036,6
11703-12502,12102,0.00325,0.0036,6
11753-12552,12152,0.00375,0.0042,7
11803-12602,12202,0.00325,0.0036,6
11853-12652,12252,0.00325,0.0036,6
11903-12702,12302,0.00325,0.0036,6
11953-12752,12352,0.00375,0.0042,7
12003-12808,12402,0.00375,0.0042,7
12053-12864,12452,0.00325,0.0036,6
12103-12914,12502,0.00325,0.0036,6
12153-12964,12552,0.00325,0.0036,6
12203-13014,12602,0.005,0.0054,9
12253-13064,12652,0.00425,0.0048,8
12303-13114,12702,0.00425,0.0048,8
12353-13164,12752,0.00525,0.006,10
12403-13214,12808,0.00575,0.0066,11
12453-13264,12864,0.00575,0.0066,11
12503-13314,12914,0.00575,0.0066,11
12553-13364,12964,0.00525,0.006,10
12603-13414,13014,0.00525,0.006,10
12653-13464,13064,0.00475,0.0054,9
12703-13514,13114,0.00475,0.0054,9
12753-13571,13164,0.00425,0.0048,8
12809-13621,13214,0.00475,0.0054,9
12865-13671,13264,0.00525,0.006,10
12915-13721,13314,0.00575,0.0066,11
12965-13771,13364,0.00675,0.0078,13
13015-13821,13414,0.0065,0.0072,12
13065-13879,13464,0.006,0.0066,11
13115-13929,13514,0.0055,0.006,10
13165-13979,13571,0.0045,0.0048,8
13215-14029,13621,0.004,0.0042,7
13265-14079,13671,0.004,0.0042,7
13315-14129,13721,0.0045,0.0048,8
13365-14179,13771,0.005,0.0054,9
13415-14229,13821,0.005,0.0054,9
13465-14279,13879,0.0065,0.0072,12
13515-14329,13929,0.0065,0.0072,12
13572-14379,13979,0.0065,0.0072,12
13622-14429,14029,0.0065,0.0072,12
13672-14479,14079,0.006,0.0066,11
13722-14529,14129,0.0055,0.006,10
13772-14597,14179,0.005,0.0054,9
13822-14647,14229,0.00725,0.0078,13
13880-14697,14279,0.00775,0.0084,14
13930-14752,14329,0.00925,0.0102,17
13980-14802,14379,0.00925,0.0102,17
14030-14852,14429,0.00925,0.0102,17
14080-14902,14479,0.01025,0.0114,19
14130-14952,14529,0.00975,0.0108,18
14180-15003,14597,0.01025,0.0114,19
14230-15062,14647,0.01075,0.012,20
14280-15113,14697,0.00925,0.0102,17
14330-15163,14752,0.01,0.0108,18
14380-15213,14802,0.01,0.0108,18
14430-15263,14852,0.0095,0.0102,17
14480-15313,14902,0.0095,0.0102,17
14530-15363,14952,0.0095,0.0102,17
14598-15413,15003,0.009,0.0096,16
14648-15463,15062,0.00575,0.0066,11
14698-15513,15113,0.00525,0.006,10
14753-15563,15163,0.00375,0.0042,7
14803-15613,15213,0.00375,0.0042,7
14853-15663,15263,0.00375,0.0042,7
14903-15713,15313,0.00275,0.003,5
14953-15763,15363,0.00275,0.003,5
15004-15813,15413,0.00175,0.0018,3
15063-15865,15463,0.00175,0.0018,3
15114-15915,15513,0.00175,0.0018,3
15164-15965,15563,0.002,0.0024,4
15214-16020,15613,0.0025,0.003,5
15264-16070,15663,0.0035,0.0042,7
15314-16120,15713,0.0035,0.0042,7
15364-16170,15763,0.004,0.0048,8
15414-16220,15813,0.0045,0.0054,9
15464-16270,15865,0.004,0.0048,8
15514-16320,15915,0.0045,0.0054,9
15564-16370,15965,0.0045,0.0054,9
15614-16420,16020,0.005,0.006,10
15664-16470,16070,0.005,0.006,10
15714-16520,16120,0.005,0.006,10
15764-16570,16170,0.0055,0.0066,11
15814-16620,16220,0.0055,0.0066,11
15866-16670,16270,0.005,0.006,10
15916-16720,16320,0.0055,0.0066,11
15966-16770,16370,0.0045,0.0054,9
16021-16822,16420,0.00638,0.0072,12
16071-16872,16470,0.00588,0.0066,11
16121-16922,16520,0.00588,0.0066,11
16171-16976,16570,0.00588,0.0066,11
16221-17026,16620,0.00538,0.006,10
16271-17076,16670,0.00538,0.006,10
16321-17126,16720,0.00488,0.0054,9
16371-17176,16770,0.00488,0.0054,9
16421-17226,16822,0.00438,0.0048,8
16471-17276,16872,0.00488,0.0054,9
16521-17326,16922,0.00538,0.006,10
16571-17376,16976,0.00588,0.0066,11
16621-17426,17026,0.00638,0.0072,12
16671-17476,17076,0.00688,0.0078,13
16721-17526,17126,0.00638,0.0072,12
16771-17576,17176,0.00638,0.0072,12
16823-17626,17226,0.004,0.0048,8
16873-17676,17276,0.0035,0.0042,7
16923-17726,17326,0.0035,0.0042,7
16977-17776,17376,0.0035,0.0042,7
17027-17826,17426,0.0035,0.0042,7
17077-17876,17476,0.0035,0.0042,7
17127-17926,17526,0.0035,0.0042,7
17177-17976,17576,0.0035,0.0042,7
17227-18026,17626,0.004,0.0048,8
17277-18076,17676,0.0035,0.0042,7
17327-18126,17726,0.0035,0.0042,7
17377-18176,17776,0.0025,0.003,5
17427-18226,17826,0.002,0.0024,4
17477-18276,17876,0.0015,0.0018,3
17527-18326,17926,0.0015,0.0018,3
17577-18376,17976,0.0015,0.0018,3
17627-18426,18026,0.0015,0.0018,3
17677-18476,18076,0.002,0.0024,4
17727-18526,18126,0.002,0.0024,4
17777-18576,18176,0.0015,0.0018,3
17827-18626,18226,0.0015,0.0018,3
17877-18676,18276,0.0015,0.0018,3
17927-18726,18326,0.0015,0.0018,3
17977-18776,18376,0.003,0.0036,6
18027-18826,18426,0.003,0.0036,6
18077-18876,18476,0.003,0.0036,6
18127-18926,18526,0.003,0.0036,6
18177-18976,18576,0.003,0.0036,6
18227-19026,18626,0.003,0.0036,6
18277-19076,18676,0.005,0.006,10
18327-19126,18726,0.005,0.006,10
18377-19176,18776,0.0055,0.0066,11
18427-19226,18826,0.0055,0.0066,11
18477-19276,18876,0.0055,0.0066,11
18527-19326,18926,0.0055,0.0066,11
18577-19376,18976,0.0055,0.0066,11
18627-19426,19026,0.0055,0.0066,11
18677-19476,19076,0.0065,0.0078,13
18727-19526,19126,0.007,0.0084,14
18777-19576,19176,0.0055,0.0066,11
18827-19626,19226,0.005,0.006,10
18877-19676,19276,0.005,0.006,10
18927-19726,19326,0.0045,0.0054,9
18977-19776,19376,0.0045,0.0054,9
19027-19826,19426,0.0045,0.0054,9
19077-19876,19476,0.003,0.0036,6
19127-19926,19526,0.0035,0.0042,7
19177-19976,19576,0.003,0.0036,6
19227-20026,19626,0.003,0.0036,6
19277-20076,19676,0.0035,0.0042,7
19327-20126,19726,0.0035,0.0042,7
19377-20176,19776,0.0035,0.0042,7
19427-20226,19826,0.004,0.0048,8
19477-20276,19876,0.004,0.0048,8
19527-20326,19926,0.004,0.0048,8
19577-20376,19976,0.004,0.0048,8
19627-20426,20026,0.004,0.0048,8
19677-20476,20076,0.0045,0.0054,9
19727-20526,20126,0.0045,0.0054,9
19777-20576,20176,0.005,0.006,10
19827-20626,20226,0.0055,0.0066,11
19877-20676,20276,0.005,0.006,10
19927-20726,20326,0.0045,0.0054,9
19977-20776,20376,0.0045,0.0054,9
20027-20826,20426,0.0045,0.0054,9
20077-20876,20476,0.0035,0.0042,7
20127-20926,20526,0.004,0.0048,8
20177-20976,20576,0.004,0.0048,8
20227-21026,20626,0.0035,0.0042,7
20277-21076,20676,0.0025,0.003,5
20327-21126,20726,0.0025,0.003,5
20377-21176,20776,0.0025,0.003,5
20427-21226,20826,0.0025,0.003,5
20477-21276,20876,0.0035,0.0042,7
