Window,Midpoint,Pi,Theta,S
      1-850,450,0.0066,0.00874,19
     65-900,500,0.0066,0.00874,19
    115-950,550,0.00493,0.00598,13
   187-1000,600,0.00361,0.00414,9
   237-1050,650,0.00236,0.00322,7
   301-1100,700,0.00208,0.00276,6
   351-1150,750,0.00132,0.00184,4
   401-1200,800,0.0016,0.0023,5
   451-1250,850,0.0016,0.0023,5
   501-1300,900,0.00188,0.00276,6
   551-1350,950,0.00188,0.00276,6
   601-1400,1000,0.0016,0.0023,5
   651-1450,1050,0.00111,0.00184,4
   701-1500,1100,0.00111,0.00184,4
   751-1557,1150,0.00139,0.0023,5
   801-1611,1200,0.00139,0.0023,5
   851-1661,1250,0.00194,0.00322,7
   901-1714,1300,0.00243,0.00368,8
   951-1764,1350,0.00243,0.00368,8
  1001-1814,1400,0.00243,0.00368,8
  1051-1864,1450,0.00264,0.00368,8
  1101-1914,1500,0.00236,0.00322,7
  1151-1965,1557,0.00264,0.00368,8
  1201-2015,1611,0.00417,0.00552,12
  1251-2065,1661,0.00465,0.00598,13
  1301-2115,1714,0.00563,0.0069,15
  1351-2165,1764,0.00653,0.00782,17
  1401-2215,1814,0.00681,0.00828,18
  1451-2265,1864,0.00708,0.00874,19
  1501-2315,1914,0.00764,0.00966,21
  1558-2365,1965,0.00736,0.0092,20
  1612-2415,2015,0.00736,0.0092,20
  1662-2465,2065,0.00708,0.00874,19
  1715-2515,2115,0.0066,0.00828,18
  1765-2565,2165,0.00688,0.00874,19
  1815-2615,2215,0.00715,0.0092,20
  1865-2665,2265,0.00667,0.00874,19
  1915-2715,2315,0.00715,0.0092,20
  1966-2765,2365,0.00826,0.01012,22
  2016-2815,2415,0.00882,0.01012,22
  2066-2865,2465,0.00889,0.01058,23
  2116-2915,2515,0.00861,0.01012,22
  2166-2965,2565,0.00799,0.00966,21
  2216-3015,2615,0.00819,0.00966,21
  2266-3065,2665,0.00882,0.01012,22
  2316-3115,2715,0.01,0.01104,24
  2366-3165,2765,0.01,0.01104,24
  2416-3215,2815,0.01132,0.01288,28
  2466-3265,2865,0.01104,0.01242,27
  2516-3315,2915,0.01188,0.0138,30
  2566-3365,2965,0.01299,0.01472,32
  2616-3415,3015,0.01382,0.0161,35
  2666-3465,3065,0.01431,0.01656,36
  2716-3515,3115,0.01382,0.0161,35
  2766-3565,3165,0.01354,0.01656,36
  2816-3615,3215,0.01167,0.01472,32
  2866-3665,3265,0.01139,0.01426,31
  2916-3718,3315,0.0109,0.0138,30
  2966-3768,3365,0.0109,0.0138,30
  3016-3818,3415,0.0109,0.0138,30
  3066-3869,3465,0.01,0.01288,28
  3116-3919,3515,0.00882,0.01196,26
  3166-3969,3565,0.0091,0.01242,27
  3216-4019,3615,0.0084,0.01104,24
  3266-4069,3665,0.00986,0.01288,28
  3316-4119,3718,0.00903,0.0115,25
  3366-4169,3768,0.00826,0.01058,23
  3416-4219,3818,0.00806,0.00966,21
  3466-4269,3869,0.00785,0.00966,21
  3516-4319,3919,0.00813,0.01012,22
  3566-4369,3969,0.00701,0.00828,18
  3616-4420,4019,0.00743,0.00874,19
  3666-4470,4069,0.00715,0.00828,18
  3719-4521,4119,0.00694,0.00828,18
  3769-4571,4169,0.00667,0.00782,17
  3819-4622,4219,0.00701,0.00874,19
  3870-4672,4269,0.00701,0.00874,19
  3920-4723,4319,0.00813,0.01058,23
  3970-4796,4369,0.00944,0.0115,25
  4020-4846,4420,0.0091,0.0115,25
  4070-4897,4470,0.01076,0.01426,31
  4120-4947,4521,0.01181,0.01564,34
  4170-4997,4571,0.01174,0.0161,35
  4220-5047,4622,0.01243,0.01656,36
  4270-5102,4672,0.0134,0.01748,38
  4320-5157,4723,0.0134,0.01748,38
  4370-5207,4796,0.01368,0.01794,39
  4421-5257,4846,0.01306,0.01748,38
  4471-5307,4897,0.01306,0.01748,38
  4522-5357,4947,0.01306,0.01748,38
  4572-5407,4997,0.01333,0.01794,39
  4623-5457,5047,0.0125,0.01656,36
  4673-5507,5102,0.01299,0.01702,37
  4724-5557,5157,0.01132,0.01426,31
  4797-5608,5207,0.00972,0.01288,28
  4847-5658,5257,0.01056,0.01426,31
  4898-5708,5307,0.00819,0.01058,23
  4948-5758,5357,0.00743,0.00966,21
  4998-5808,5407,0.00743,0.00966,21
  5048-5859,5457,0.00583,0.00828,18
  5103-5909,5507,0.00514,0.00782,17
  5158-5959,5557,0.00514,0.00782,17
  5208-6009,5608,0.00542,0.00828,18
  5258-6059,5658,0.00597,0.0092,20
  5308-6109,5708,0.00625,0.00966,21
  5358-6159,5758,0.0075,0.01058,23
  5408-6209,5808,0.0075,0.01058,23
  5458-6259,5859,0.0075,0.01058,23
  5508-6309,5909,0.0075,0.01058,23
  5559-6359,5959,0.0075,0.01058,23
  5609-6416,6009,0.00854,0.01196,26
  5659-6466,6059,0.00799,0.01104,24
  5709-6518,6109,0.0075,0.01058,23
  5759-6577,6159,0.00785,0.01058,23
  5809-6633,6209,0.00882,0.0115,25
  5860-6683,6259,0.01125,0.01426,31
  5910-6733,6309,0.01069,0.01334,29
  5960-6811,6359,0.01069,0.01334,29
  6010-6870,6416,0.01014,0.01242,27
  6060-6922,6466,0.01049,0.01242,27
  6110-6972,6518,0.01076,0.01288,28
  6160-7022,6577,0.01104,0.0138,30
  6210-7072,6633,0.01208,0.01518,33
  6260-7122,6683,0.01208,0.01518,33
  6310-7176,6733,0.01208,0.01518,33
  6360-7226,6811,0.01264,0.0161,35
  6417-7276,6870,0.01188,0.01518,33
  6467-7326,6922,0.01132,0.01426,31
  6519-7376,6972,0.01132,0.01426,31
  6578-7428,7022,0.01146,0.01472,32
  6634-7478,7072,0.01021,0.01334,29
  6684-7528,7122,0.00778,0.01058,23
  6734-7578,7176,0.00833,0.0115,25
  6812-7628,7226,0.00833,0.0115,25
  6871-7678,7276,0.00833,0.0115,25
  6923-7728,7326,0.00715,0.01012,22
  6973-7778,7376,0.0066,0.0092,20
  7023-7828,7428,0.00535,0.00782,17
  7073-7878,7478,0.00403,0.00598,13
  7123-7928,7528,0.00514,0.0069,15
  7177-7978,7578,0.00528,0.0069,15
  7227-8028,7628,0.00472,0.00598,13
  7277-8078,7678,0.00444,0.00552,12
  7327-8128,7728,0.00535,0.00644,14
  7377-8178,7778,0.00507,0.00598,13
  7429-8228,7828,0.00458,0.00552,12
  7479-8282,7878,0.00458,0.00552,12
  7529-8332,7928,0.00677,0.00736,16
  7579-8383,7978,0.00649,0.0069,15
  7629-8436,8028,0.00622,0.00644,14
  7679-8486,8078,0.0067,0.0069,15
  7729-8536,8128,0.00698,0.00736,16
  7779-8589,8178,0.00747,0.00782,17
  7829-8639,8228,0.00691,0.0069,15
  7879-8692,8282,0.0074,0.00736,16
  7929-8742,8332,0.00628,0.00644,14
  7979-8792,8383,0.00594,0.00644,14
  8029-8864,8436,0.00622,0.0069,15
  8079-8914,8486,0.00622,0.0069,15
  8129-8964,8536,0.00559,0.00644,14
  8179-9014,8589,0.00559,0.00644,14
  8229-9064,8639,0.00559,0.00644,14
  8283-9116,8692,0.0058,0.00644,14
  8333-9185,8742,0.01153,0.01012,22
  8384-9235,8792,0.0125,0.01104,24
  8437-9285,8864,0.01313,0.0115,25
  8487-9335,8914,0.01368,0.01242,27
  8537-9385,8964,0.01417,0.01288,28
  8590-9435,9014,0.01396,0.01288,28
  8640-9485,9064,0.01396,0.01288,28
  8693-9535,9116,0.01375,0.01288,28
  8743-9585,9185,0.01375,0.01288,28
  8793-9635,9235,0.01438,0.01334,29
  8865-9685,9285,0.0141,0.01288,28
  8915-9735,9335,0.0141,0.01288,28
  8965-9785,9385,0.0141,0.01288,28
  9015-9835,9435,0.01479,0.01334,29
  9065-9885,9485,0.01451,0.01288,28
  9117-9935,9535,0.01521,0.0138,30
  9186-9985,9585,0.00729,0.00828,18
 9236-10036,9635,0.00667,0.00736,16
 9286-10086,9685,0.00667,0.00736,16
 9336-10136,9735,0.00563,0.00598,13
 9386-10186,9785,0.00576,0.00598,13
 9436-10236,9835,0.00549,0.00552,12
 9486-10286,9885,0.00576,0.00598,13
 9536-10336,9935,0.00549,0.00552,12
 9586-10387,9985,0.00688,0.0069,15
 9636-10438,10036,0.00597,0.00598,13
 9686-10488,10086,0.00597,0.00598,13
 9736-10538,10136,0.0066,0.00644,14
 9786-10588,10186,0.00632,0.00598,13
 9836-10638,10236,0.00563,0.00552,12
 9886-10688,10286,0.00563,0.00552,12
 9936-10738,10336,0.00444,0.00414,9
 9986-10788,10387,0.00507,0.0046,10
10037-10838,10438,0.00444,0.00414,9
10087-10888,10488,0.00472,0.0046,10
10137-10938,10538,0.005,0.00506,11
10187-10988,10588,0.00438,0.0046,10
10237-11038,10638,0.00438,0.0046,10
10287-11088,10688,0.0041,0.00414,9
10337-11138,10738,0.00465,0.00506,11
10388-11188,10788,0.00326,0.00368,8
10439-11238,10838,0.00326,0.00368,8
10489-11288,10888,0.00326,0.00368,8
10539-11338,10938,0.00264,0.00322,7
10589-11388,10988,0.00264,0.00322,7
10639-11438,11038,0.00292,0.00368,8
10689-11488,11088,0.00354,0.00414,9
10739-11538,11138,0.0041,0.00506,11
10789-11588,11188,0.00347,0.0046,10
10839-11638,11238,0.00347,0.0046,10
10889-11688,11288,0.00257,0.00368,8
10939-11738,11338,0.00229,0.00322,7
10989-11788,11388,0.00201,0.00276,6
11039-11838,11438,0.00257,0.00368,8
11089-11888,11488,0.00257,0.00368,8
11139-11938,11538,0.00201,0.00276,6
11189-11988,11588,0.00201,0.00276,6
11239-12038,11638,0.00229,0.00322,7
11289-12088,11688,0.00229,0.00322,7
11339-12138,11738,0.00229,0.00322,7
11389-12188,11788,0.00229,0.00322,7
11439-12238,11838,0.00201,0.00276,6
11489-12288,11888,0.00236,0.00322,7
11539-12338,11938,0.00229,0.00276,6
11589-12388,11988,0.00229,0.00276,6
11639-12438,12038,0.00229,0.00276,6
11689-12488,12088,0.00229,0.00276,6
11739-12538,12138,0.00229,0.00276,6
11789-12588,12188,0.00278,0.00322,7
11839-12638,12238,0.00285,0.00276,6
11889-12688,12288,0.00285,0.00276,6
11939-12738,12338,0.00313,0.00322,7
11989-12794,12388,0.00313,0.00322,7
12039-12850,12438,0.00285,0.00276,6
12089-12900,12488,0.00285,0.00276,6
12139-12950,12538,0.00285,0.00276,6
12189-13000,12588,0.00431,0.00414,9
12239-13050,12638,0.00479,0.0046,10
12289-13100,12688,0.0041,0.00414,9
12339-13150,12738,0.00389,0.00414,9
12389-13200,12794,0.00417,0.0046,10
12439-13250,12850,0.00444,0.00506,11
12489-13300,12900,0.00444,0.00506,11
12539-13350,12950,0.00444,0.00506,11
12589-13400,13000,0.00396,0.0046,10
12639-13450,13050,0.00333,0.00414,9
12689-13500,13100,0.00333,0.00414,9
12739-13560,13150,0.00306,0.00368,8
12795-13610,13200,0.00306,0.00368,8
12851-13660,13250,0.00361,0.0046,10
12901-13710,13300,0.00389,0.00506,11
12951-13760,13350,0.00444,0.00598,13
13001-13810,13400,0.00438,0.00552,12
13051-13868,13450,0.00417,0.00552,12
13101-13918,13500,0.00389,0.00506,11
13151-13968,13560,0.00361,0.0046,10
13201-14018,13610,0.00333,0.00414,9
13251-14068,13660,0.00306,0.00368,8
13301-14118,13710,0.00306,0.00368,8
13351-14168,13760,0.00361,0.0046,10
13401-14218,13810,0.00361,0.0046,10
13451-14268,13868,0.00465,0.00598,13
13501-14318,13918,0.00493,0.00644,14
13561-14368,13968,0.00493,0.00644,14
13611-14418,14018,0.00556,0.0069,15
13661-14468,14068,0.005,0.00598,13
13711-14518,14118,0.00472,0.00552,12
13761-14586,14168,0.00444,0.00506,11
13811-14636,14218,0.0059,0.0069,15
13869-14686,14268,0.0066,0.00736,16
13919-14741,14318,0.00736,0.00828,18
13969-14791,14368,0.00764,0.00874,19
14019-14841,14418,0.00764,0.00874,19
14069-14891,14468,0.00792,0.0092,20
14119-14941,14518,0.00847,0.01012,22
14169-14992,14586,0.00889,0.01012,22
14219-15042,14636,0.00917,0.01058,23
14269-15102,14686,0.00813,0.0092,20
14319-15152,14741,0.00785,0.00874,19
14369-15202,14791,0.00854,0.0092,20
14419-15252,14841,0.00792,0.00874,19
14469-15302,14891,0.00792,0.00874,19
14519-15352,14941,0.00792,0.00874,19
14587-15402,14992,0.00764,0.00828,18
14637-15452,15042,0.00507,0.00598,13
14687-15502,15102,0.0041,0.00506,11
14742-15552,15152,0.00333,0.00414,9
14792-15602,15202,0.00306,0.00368,8
14842-15652,15252,0.00306,0.00368,8
14892-15702,15302,0.00278,0.00322,7
14942-15752,15352,0.00222,0.0023,5
14993-15802,15402,0.00125,0.00138,3
15043-15854,15452,0.00125,0.00138,3
15103-15904,15502,0.00125,0.00138,3
15153-15954,15552,0.00201,0.0023,5
15203-16009,15602,0.0016,0.0023,5
15253-16059,15652,0.00215,0.00322,7
15303-16109,15702,0.00215,0.00322,7
15353-16159,15752,0.00243,0.00368,8
15403-16209,15802,0.00347,0.00506,11
15453-16259,15854,0.00319,0.0046,10
15503-16309,15904,0.00347,0.00506,11
15553-16359,15954,0.00375,0.00552,12
15603-16409,16009,0.00375,0.00552,12
15653-16459,16059,0.00403,0.00598,13
15703-16509,16109,0.00403,0.00598,13
15753-16559,16159,0.00431,0.00644,14
15803-16609,16209,0.00431,0.00644,14
15855-16659,16259,0.00403,0.00598,13
15905-16709,16309,0.00431,0.00644,14
15955-16759,16359,0.00354,0.00552,12
16010-16815,16409,0.00389,0.00552,12
16060-16865,16459,0.00444,0.00552,12
16110-16915,16509,0.00444,0.00552,12
16160-16965,16559,0.00417,0.00506,11
16210-17019,16609,0.0034,0.00414,9
16260-17069,16659,0.0034,0.00414,9
16310-17119,16709,0.00313,0.00368,8
16360-17169,16759,0.00285,0.00322,7
16410-17219,16815,0.0034,0.00414,9
16460-17269,16865,0.0034,0.00414,9
16510-17319,16915,0.00368,0.0046,10
16560-17369,16965,0.00417,0.00506,11
16610-17419,17019,0.00417,0.00506,11
16660-17469,17069,0.00472,0.00598,13
16710-17519,17119,0.00444,0.00552,12
16760-17569,17169,0.00444,0.00552,12
16816-17619,17219,0.00382,0.00506,11
16866-17669,17269,0.00271,0.00414,9
16916-17719,17319,0.00271,0.00414,9
16966-17769,17369,0.00271,0.00414,9
17020-17819,17419,0.00292,0.00414,9
17070-17869,17469,0.00292,0.00414,9
17120-17919,17519,0.00292,0.00414,9
17170-17969,17569,0.00292,0.00414,9
17220-18019,17619,0.00236,0.00322,7
17270-18069,17669,0.00236,0.00322,7
17320-18119,17719,0.00236,0.00322,7
